name,transform,n,mean_distance,normalized_distance,recall
whash_db4_L3_16,rotate_+5,5,49.6,0.19375,0.8
whash_db4_L3_16,rotate_-10,5,66.6,0.26015625,0.6
whash_db4_L3_16,rotate_-5,5,50.2,0.19609375,0.8
whash_db4_L3_16,salt_pepper,5,28.0,0.109375,0.8
whash_db4_L3_16,scale_0.8,5,0.4,0.0015625,1.0
whash_db4_L3_16,scale_1.2,5,0.4,0.0015625,1.0
whash_db4_L4_8,blur,5,0.0,0.0,1.0
whash_db4_L4_8,brightness_0.8,5,0.0,0.0,1.0
whash_db4_L4_8,brightness_1.2,5,0.0,0.0,1.0
whash_db4_L4_8,crop,5,11.6,0.18125,0.4
whash_db4_L4_8,gaussian_noise,5,4.0,0.0625,0.8
whash_db4_L4_8,jpeg_30,5,0.8,0.0125,1.0
whash_db4_L4_8,jpeg_50,5,0.0,0.0,1.0
whash_db4_L4_8,jpeg_70,5,0.4,0.00625,1.0
whash_db4_L4_8,rotate_+10,5,17.0,0.265625,0.2
whash_db4_L4_8,rotate_+5,5,11.8,0.184375,0.6
whash_db4_L4_8,rotate_-10,5,17.0,0.265625,0.4
whash_db4_L4_8,rotate_-5,5,11.0,0.171875,0.8
whash_db4_L4_8,salt_pepper,5,5.6,0.0875,0.8
whash_db4_L4_8,scale_0.8,5,0.0,0.0,1.0
whash_db4_L4_8,scale_1.2,5,0.0,0.0,1.0
whash_db4_L4_16,blur,5,4.8,0.01875,1.0
whash_db4_L4_16,brightness_0.8,5,0.8,0.003125,1.0
whash_db4_L4_16,brightness_1.2,5,1.2,0.0046875,1.0
whash_db4_L4_16,crop,5,56.4,0.2203125,0.8
whash_db4_L4_16,gaussian_noise,5,21.2,0.0828125,1.0
whash_db4_L4_16,jpeg_30,5,6.0,0.0234375,1.0
whash_db4_L4_16,jpeg_50,5,4.4,0.0171875,1.0
whash_db4_L4_16,jpeg_70,5,2.2,0.00859375,1.0
whash_db4_L4_16,rotate_+10,5,70.0,0.2734375,0.6
whash_db4_L4_16,rotate_+5,5,49.8,0.19453125,1.0
whash_db4_L4_16,rotate_-10,5,68.6,0.26796875,0.6
whash_db4_L4_16,rotate_-5,5,51.4,0.20078125,1.0
whash_db4_L4_16,salt_pepper,5,27.6,0.1078125,0.8
whash_db4_L4_16,scale_0.8,5,3.2,0.0125,1.0
whash_db4_L4_16,scale_1.2,5,3.2,0.0125,1.0
whash_sym4_L1_8,blur,5,2.0,0.03125,1.0
whash_sym4_L1_8,brightness_0.8,5,0.4,0.00625,1.0
whash_sym4_L1_8,brightness_1.2,5,0.4,0.00625,1.0
whash_sym4_L1_8,crop,5,11.6,0.18125,0.6
whash_sym4_L1_8,gaussian_noise,5,4.8,0.075,0.8
whash_sym4_L1_8,jpeg_30,5,0.8,0.0125,1.0
whash_sym4_L1_8,jpeg_50,5,0.0,0.0,1.0
whash_sym4_L1_8,jpeg_70,5,0.0,0.0,1.0
whash_sym4_L1_8,rotate_+10,5,13.6,0.2125,0.6
whash_sym4_L1_8,rotate_+5,5,12.4,0.19375,0.6
whash_sym4_L1_8,rotate_-10,5,15.6,0.24375,0.6
whash_sym4_L1_8,rotate_-5,5,12.8,0.2,0.8
whash_sym4_L1_8,salt_pepper,5,5.2,0.08125,0.8
whash_sym4_L1_8,scale_0.8,5,0.4,0.00625,1.0
whash_sym4_L1_8,scale_1.2,5,0.4,0.00625,1.0
whash_sym4_L1_16,blur,5,4.0,0.015625,1.0
whash_sym4_L1_16,brightness_0.8,5,0.0,0.0,1.0
whash_sym4_L1_16,brightness_1.2,5,0.0,0.0,1.0
whash_sym4_L1_16,crop,5,47.2,0.184375,0.8
whash_sym4_L1_16,gaussian_noise,5,24.8,0.096875,0.8
whash_sym4_L1_16,jpeg_30,5,5.2,0.0203125,1.0
